saldo_corrente,duracao_emp_meses,historico_credito,motivo,quantia,saldo_poupanca,tempo_empregado,porcentagem_renda,anos_residencia,idade,outro_credito,residencia,qtd_emprestimos_existentes,emprego,dependentes,telefone,inadimplente
< 0 DM,6.0,critico,moveis/eletrodomesticos,1169,desconhecido,> 7 anos,4.0,4.0,67,nenhum,propria,2,qualificado,1,sim,nao
1 - 200 DM,48.0,bom,moveis/eletrodomesticos,5951,< 100 DM,1 - 4 anos,2.0,2.0,22,nenhum,propria,1,qualificado,1,nao,sim
desconhecido,12.0,critico,educacao,2096,< 100 DM,4 - 7 anos,2.0,3.0,49,nenhum,propria,1,nao-qualificado,2,nao,nao
< 0 DM,42.0,bom,moveis/eletrodomesticos,7882,< 100 DM,4 - 7 anos,2.0,4.0,45,nenhum,outros,1,qualificado,2,nao,nao
< 0 DM,24.0,ruim,carro,4870,< 100 DM,1 - 4 anos,3.0,4.0,53,nenhum,outros,2,qualificado,2,nao,sim
desconhecido,36.0,bom,educacao,9055,desconhecido,1 - 4 anos,2.0,4.0,35,nenhum,outros,1,nao-qualificado,2,sim,nao
desconhecido,24.0,bom,moveis/eletrodomesticos,2835,500 - 1000 DM,> 7 anos,3.0,4.0,53,nenhum,propria,1,qualificado,1,nao,nao
1 - 200 DM,36.0,bom,carro,6948,< 100 DM,1 - 4 anos,2.0,2.0,35,nenhum,alugada,1,gerencial,1,sim,nao
desconhecido,12.0,bom,moveis/eletrodomesticos,3059,> 1000 DM,4 - 7 anos,2.0,4.0,61,nenhum,propria,1,nao-qualificado,1,nao,nao
1 - 200 DM,30.0,critico,carro,5234,< 100 DM,desempregado,4.0,2.0,28,nenhum,propria,2,gerencial,1,nao,sim
1 - 200 DM,12.0,bom,carro,1295,< 100 DM,< 1 ano,,1.0,25,nenhum,alugada,1,qualificado,1,nao,sim
< 0 DM,48.0,bom,negocios,4308,< 100 DM,< 1 ano,3.0,4.0,24,nenhum,alugada,1,qualificado,1,nao,sim
1 - 200 DM,12.0,bom,moveis/eletrodomesticos,1567,< 100 DM,1 - 4 anos,1.0,1.0,22,nenhum,propria,1,qualificado,1,sim,nao
< 0 DM,24.0,critico,carro,1199,< 100 DM,> 7 anos,4.0,4.0,60,nenhum,propria,2,nao-qualificado,1,nao,sim
< 0 DM,15.0,bom,carro,1403,< 100 DM,1 - 4 anos,2.0,4.0,28,nenhum,alugada,1,qualificado,1,nao,nao
< 0 DM,24.0,bom,moveis/eletrodomesticos,1282,100 - 500 DM,1 - 4 anos,4.0,2.0,32,nenhum,propria,1,nao-qualificado,1,nao,sim
desconhecido,24.0,critico,moveis/eletrodomesticos,2424,desconhecido,> 7 anos,4.0,4.0,53,nenhum,propria,2,qualificado,1,nao,nao
< 0 DM,30.0,perfeito,negocios,8072,desconhecido,< 1 ano,2.0,3.0,25,banco,propria,3,qualificado,1,nao,nao
1 - 200 DM,24.0,bom,carro,12579,< 100 DM,> 7 anos,4.0,2.0,44,nenhum,outros,1,gerencial,1,sim,sim
desconhecido,24.0,bom,moveis/eletrodomesticos,3430,500 - 1000 DM,> 7 anos,,2.0,31,nenhum,propria,1,qualificado,2,sim,nao
desconhecido,9.0,critico,carro,2134,< 100 DM,1 - 4 anos,4.0,4.0,48,nenhum,propria,3,qualificado,1,sim,nao
< 0 DM,6.0,bom,moveis/eletrodomesticos,2647,500 - 1000 DM,1 - 4 anos,2.0,,44,nenhum,alugada,1,qualificado,2,nao,nao
< 0 DM,10.0,critico,carro,2241,< 100 DM,< 1 ano,1.0,,48,nenhum,alugada,2,nao-qualificado,2,nao,nao
